inn,name,region,okved,status_Действующая организация,status_Деятельность прекращена,status_Процесс банкротства,status_Процесс исключения,status_Процесс реорганизации,status_Стадия ликвидации,Закупки,2020,2021,2022,2023,2024,2025,СумНедоим,СумДолг,ОстЗадолж,2021_1100_СумОтч,2021_1100_СумПред,2021_2110_СумОтч,2021_2110_СумПред,2021_2200_СумОтч,2021_2200_СумПред,2022_1100_СумОтч,2022_1100_СумПред,2022_2110_СумОтч,2022_2110_СумПред,2022_2200_СумОтч,2022_2200_СумПред,2023_1100_СумОтч,2023_1100_СумПред,2023_2110_СумОтч,2023_2110_СумПред,2023_2200_СумОтч,2023_2200_СумПред,2024_1100_СумОтч,2024_1100_СумПред,2024_2110_СумОтч,2024_2110_СумПред,2024_2200_СумОтч,2024_2200_СумПред,2025_1100_СумОтч,2025_1100_СумПред,2025_2110_СумОтч,2025_2110_СумПред,2025_2200_СумОтч,2025_2200_СумПред
5260112410,"ООО ГК ""МЕТАЛЛОЦЕНТР""",106,632,True,False,False,False,False,False,0,28.0,55.0,13.0,33.0,7.0,0.0,0.0,0.0,0.0,0,0,350156000,144351000,1418000,322000,0,0,153503000,350156000,1106000,1418000,0,0,269036000,153503000,2868000,1106000,0,0,232354000,269036000,1489000,2868000,0,0,0,0,0,0
6311150391,"ООО ""ДВЕРНОЙ СИНДИКАТ""",150,704,True,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,178967000,244449000,37140000,14400000,0,0,191239000,178967000,17555000,37140000,0,0,176938000,191239000,9045000,17555000,0,0,183175000,176938000,10182000,9045000,0,0,0,0,0,0
7810027596,"ООО ""ЛУДИНГ-СПБ""",36,532,True,False,False,False,False,False,18216055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18664000,0,1459681000,1004309000,-34280000,-95105000,110606000,0,1690106000,1459681000,-80104000,-34280000,85450000,0,1901274000,1690106000,-59482000,-80104000,49585000,0,2200334000,1901274000,-20719000,-59482000,0,0,0,0,0,0
2465293875,"ООО ""ДЕВЯТКО""",74,663,False,False,False,False,True,False,0,0.0,0.0,0.0,0.0,0.0,0.0,41.26,0.0,0.0,0,0,291368000,359694000,11365000,4542000,0,0,81616000,291368000,2051000,11365000,0,0,56961000,81616000,2334000,2051000,0,0,25567000,56961000,1268000,2334000,0,0,0,0,0,0
6324076748,"ООО ""ЗАВОД КПД""",151,218,True,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54807000,0,563068000,290832000,8724000,5272000,118079000,0,584987000,563068000,14082000,8724000,219092000,0,681724000,584987000,34361000,14082000,223476000,0,879320000,681724000,65357000,34361000,0,0,0,0,0,0
2465238553,"ООО ""ВОДОЛЕЙ-ТРЕЙД""",74,641,True,False,False,False,False,False,2280127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365000,0,1774283000,794777000,32949000,12792000,171000,0,2918492000,1774283000,31573000,32949000,156000,0,3255277000,2918492000,48853000,31573000,197000,0,3202614000,3255277000,77671000,48853000,0,0,0,0,0,0
3812130023,"ООО ""АНГРО СИБИРЬ""",49,661,True,False,False,False,False,False,27099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,151539000,184674000,0,0,0,0,145568000,151539000,0,0,0,0,128301000,145568000,0,0,0,0,122284000,128301000,0,0,0,0,0,0,0,0
1658200561,"ООО ""КАЗАНСКИЙ ТРУБНЫЙ ЗАВОД""",142,192,True,False,False,False,False,False,24879561,0.0,0.0,0.0,0.0,0.0,0.0,815025.98,0.0,0.0,4781000,0,642942000,335541000,6829000,8292000,3872000,0,819007000,642638000,28906000,8010000,28894000,0,949238000,819050000,140532000,30096000,31590000,0,1033967000,949280000,47026000,133199000,0,0,0,0,0,0
4027099153,"ООО ""ЭЛМАТ РОБОТЕХ""",56,409,False,True,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26256000,0,384116000,356511000,65246000,23046000,25826000,0,92362000,384116000,-37516000,65247000,23273000,0,25533000,92362000,-24071000,-37516000,38252000,0,34406000,25533000,-5540000,-24071000,0,0,0,0,0,0
6950055457,"ООО ""ТВЕРЬ-СЕРВИС""",180,533,True,False,False,False,False,False,35276159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,131852000,120254000,0,0,0,0,122476000,131852000,0,0,0,0,105488000,122476000,0,0,0,0,142488000,105488000,0,0,0,0,0,0,0,0
5918215224,"ООО ""МЕГАСТИЛ""",125,634,True,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,36330.71,0.0,0.0,5949000,0,393389000,517894000,11777000,6559000,2000,0,172064000,393389000,150000,11777000,1000,0,32931000,175123000,45000,-3507000,0,0,0,32931000,0,45000,0,0,0,0,0,0
3665037158,"ООО ""А-ДРАЙВ ЦЕНТР""",34,453,True,False,False,False,False,False,21435666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55738000,0,565443000,637748000,-23816000,-62825000,47406000,0,224411000,565443000,-3910000,-23816000,41868000,0,114306000,224411000,-4940000,-3910000,27455000,0,514891000,114306000,1953000,-4940000,0,0,0,0,0,0
4501153735,"ЗАО ""КСА""",79,360,True,False,False,False,False,False,274564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259444000,0,1606782000,1153917000,119023000,27098000,335758000,0,1225078000,1606782000,115738000,119023000,744143000,0,1676065000,1225078000,321401000,115738000,898277000,0,1942230000,1676065000,218051000,321401000,0,0,0,0,0,0
7718288733,"ООО ""ТД ИЗАГРИ""",35,652,True,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,177911000,160557000,0,0,0,0,217238000,177911000,0,0,0,0,25791000,217238000,0,0,0,0,20579000,26108000,0,0,0,0,0,0,0,0
