Unnamed: 0,inn,name,region,okved,status_Действующая организация,status_Деятельность прекращена,status_Процесс банкротства,status_Процесс исключения,status_Процесс реорганизации,status_Стадия ликвидации,Закупки,2020,2021,2022,2023,2024,2025,СумНедоим,СумДолг,ОстЗадолж,2021_1100_СумОтч,2021_1100_СумПред,2021_2110_СумОтч,2021_2110_СумПред,2021_2200_СумОтч,2021_2200_СумПред,2022_1100_СумОтч,2022_1100_СумПред,2022_2110_СумОтч,2022_2110_СумПред,2022_2200_СумОтч,2022_2200_СумПред,2023_1100_СумОтч,2023_1100_СумПред,2023_2110_СумОтч,2023_2110_СумПред,2023_2200_СумОтч,2023_2200_СумПред,2024_1100_СумОтч,2024_1100_СумПред,2024_2110_СумОтч,2024_2110_СумПред,2024_2200_СумОтч,2024_2200_СумПред,2025_1100_СумОтч,2025_1100_СумПред,2025_2110_СумОтч,2025_2110_СумПред,2025_2200_СумОтч,2025_2200_СумПред,2021_1210_СумОтч,2021_1210_СумПред,2021_1360_СумОтч,2021_1360_СумПред,2021_2400_СумОтч,2021_2400_СумПред,2022_1210_СумОтч,2022_1210_СумПред,2022_1360_СумОтч,2022_1360_СумПред,2022_2400_СумОтч,2022_2400_СумПред,2023_1210_СумОтч,2023_1210_СумПред,2023_1360_СумОтч,2023_1360_СумПред,2023_2400_СумОтч,2023_2400_СумПред,2024_1210_СумОтч,2024_1210_СумПред,2024_1360_СумОтч,2024_1360_СумПред,2024_2400_СумОтч,2024_2400_СумПред,2025_1210_СумОтч,2025_1210_СумПред,2025_1360_СумОтч,2025_1360_СумПред,2025_2400_СумОтч,2025_2400_СумПред,Дата регистрации,count_2021,sum_2021,count_2022,sum_2022,count_2023,sum_2023,count_2024,sum_2024,count_2025,sum_2025,event_timestamp
0,5260112410,"ООО ГК ""МЕТАЛЛОЦЕНТР""",106,632,True,False,False,False,False,False,0,28.0,55.0,13.0,33.0,7.0,0.0,0.0,0.0,0.0,0,0,350156000,144351000,1418000,322000,0,0,153503000,350156000,1106000,1418000,0,0,269036000,153503000,2868000,1106000,0,0,232354000,269036000,1489000,2868000,0,0,0,0,0,0,11715000,0,0,0,661000,88000,9908000,0,0,0,178000,661000,19728000,0,0,0,424000,178000,18039000,0,0,0,326000,424000,0,0,0,0,0,0,2002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-04-30 15:38:33.633104
1,6311150391,"ООО ""ДВЕРНОЙ СИНДИКАТ""",150,704,True,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,178967000,244449000,37140000,14400000,0,0,191239000,178967000,17555000,37140000,0,0,176938000,191239000,9045000,17555000,0,0,183175000,176938000,10182000,9045000,0,0,0,0,0,0,53840000,0,0,0,24987000,9944000,10599000,0,0,0,12290000,24987000,38890000,0,0,0,1904000,12290000,37959000,0,0,0,400000,1904000,0,0,0,0,0,0,2014,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-04-30 15:38:33.633104
2,7810027596,"ООО ""ЛУДИНГ-СПБ""",36,532,True,False,False,False,False,False,18216055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18664000,0,1459681000,1004309000,-34280000,-95105000,110606000,0,1690106000,1459681000,-80104000,-34280000,85450000,0,1901274000,1690106000,-59482000,-80104000,49585000,0,2200334000,1901274000,-20719000,-59482000,0,0,0,0,0,0,282272000,0,91000,0,4045000,754000,335144000,0,91000,0,4467000,4045000,369728000,0,91000,0,4706000,4467000,442816000,0,0,0,5508000,4706000,0,0,0,0,0,0,2005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-04-30 15:38:33.633104
3,2465293875,"ООО ""ДЕВЯТКО""",74,663,False,False,False,False,True,False,0,0.0,0.0,0.0,0.0,0.0,0.0,41.26,0.0,0.0,0,0,291368000,359694000,11365000,4542000,0,0,81616000,291368000,2051000,11365000,0,0,56961000,81616000,2334000,2051000,0,0,25567000,56961000,1268000,2334000,0,0,0,0,0,0,25070000,0,0,0,2907000,871000,9412000,0,0,0,867000,2907000,14336000,0,0,0,372000,867000,3538000,0,0,0,167000,372000,0,0,0,0,0,0,2013,3,84630.0,7,32050.04,1,13054.75,2,685173.94,0,0.0,2025-04-30 15:38:33.633104
4,6324076748,"ООО ""ЗАВОД КПД""",151,218,True,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54807000,0,563068000,290832000,8724000,5272000,118079000,0,584987000,563068000,14082000,8724000,219092000,0,681724000,584987000,34361000,14082000,223476000,0,879320000,681724000,65357000,34361000,0,0,0,0,0,0,106522000,0,0,0,25685000,407000,121870000,0,0,0,5560000,25685000,204679000,0,0,0,9215000,5560000,206532000,0,0,0,38906000,9215000,0,0,0,0,0,0,2016,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-04-30 15:38:33.633104
5,2465238553,"ООО ""ВОДОЛЕЙ-ТРЕЙД""",74,641,True,False,False,False,False,False,2280127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365000,0,1774283000,794777000,32949000,12792000,171000,0,2918492000,1774283000,31573000,32949000,156000,0,3255277000,2918492000,48853000,31573000,197000,0,3202614000,3255277000,77671000,48853000,0,0,0,0,0,0,428614000,0,0,0,32289000,12718000,426372000,0,0,0,45725000,32289000,644283000,0,0,0,62109000,45725000,702747000,0,0,0,91649000,62109000,0,0,0,0,0,0,2010,0,0.0,1,1353242.12,0,0.0,0,0.0,0,0.0,2025-04-30 15:38:33.633104
6,3812130023,"ООО ""АНГРО СИБИРЬ""",49,661,True,False,False,False,False,False,27099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,151539000,184674000,0,0,0,0,145568000,151539000,0,0,0,0,128301000,145568000,0,0,0,0,122284000,128301000,0,0,0,0,0,0,0,0,105879000,0,0,0,1025000,5555000,112546000,0,0,0,-143000,1025000,119583000,0,0,0,754000,-143000,131789000,0,0,0,498000,754000,0,0,0,0,0,0,2010,1,2317.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-04-30 15:38:33.633104
7,1658200561,"ООО ""КАЗАНСКИЙ ТРУБНЫЙ ЗАВОД""",142,192,True,False,False,False,False,False,24879561,0.0,0.0,0.0,0.0,0.0,0.0,815025.98,0.0,0.0,4781000,0,642942000,335541000,6829000,8292000,3872000,0,819007000,642638000,28906000,8010000,28894000,0,949238000,819050000,140532000,30096000,31590000,0,1033967000,949280000,47026000,133199000,0,0,0,0,0,0,84931000,0,0,0,4317000,5375000,86257000,0,0,0,16952000,4316000,208942000,0,0,0,69387000,16306000,228860000,0,0,0,25720000,55925000,0,0,0,0,0,0,2017,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-04-30 15:38:33.633104
8,4027099153,"ООО ""ЭЛМАТ РОБОТЕХ""",56,409,False,True,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26256000,0,384116000,356511000,65246000,23046000,25826000,0,92362000,384116000,-37516000,65247000,23273000,0,25533000,92362000,-24071000,-37516000,38252000,0,34406000,25533000,-5540000,-24071000,0,0,0,0,0,0,69079000,0,0,0,55591000,-15820000,55484000,0,0,0,-21418000,55593000,45203000,0,0,0,-9110000,-21418000,17796000,0,0,0,-16680000,-9110000,0,0,0,0,0,0,2010,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-04-30 15:38:33.633104
9,6950055457,"ООО ""ТВЕРЬ-СЕРВИС""",180,533,True,False,False,False,False,False,35276159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,131852000,120254000,0,0,0,0,122476000,131852000,0,0,0,0,105488000,122476000,0,0,0,0,142488000,105488000,0,0,0,0,0,0,0,0,46495000,0,0,0,624000,868000,55226000,0,0,0,662000,624000,65112000,0,0,0,625000,662000,73591000,0,0,0,590000,625000,0,0,0,0,0,0,2007,0,0.0,1,522352.75,1,115106.15,1,65306.88,1,34636.42,2025-04-30 15:38:33.633104
